"","word","n"
"856","o",3933
"857","showing",3933
"858","let's",3928
"859","trust",3927
"860","fall",3922
"861","recently",3917
"862","seem",3916
"863","fell",3915
"864","door",3903
"865","met",3902
"866","services",3900
"867","choose",3896
"868","bed",3888
"869","sun",3886
"870","truth",3882
"871","above",3880
"872","damn",3876
"873","role",3874
"874","space",3871
"875","dr",3868
"876","cold",3858
"877","michael",3854
"878","showed",3842
"879","leaving",3838
"880","bar",3836
"881","details",3836
"882","died",3832
"883","total",3821
"884","oregon",3818
"885","wasn’t",3817
"886","price",3807
"887","forever",3806
"888","lunch",3796
"889","received",3795
"890","built",3788
"891","answer",3778
"892","figure",3776
"893","press",3772
"894","finished",3770
"895","heat",3767
"896","paid",3767
"897","congrats",3755
"898","nfl",3751
"899","wrote",3750
"900","feels",3743
"901","learned",3742
"902","save",3732
"903","changes",3726
"904","walking",3722
"905","i’ve",3718
"906","box",3715
"907","character",3710
"908","despite",3706
"909","hair",3698
"910","data",3683
"911","events",3683
"912","born",3679
"913","problems",3678
"914","daughter",3675
"915","louis",3671
"916","gone",3660
"917","dad",3655
"918","rogers",3633
"919","till",3632
"920","sign",3626
"921","oil",3622
"922","serious",3615
"923","higher",3608
"924","followers",3607
"925","catch",3595
"926","prices",3595
"927","tickets",3591
"928","whatever",3589
"929","cancer",3588
"930","track",3583
"931","etc",3578
"932","federal",3578
"933","feet",3578
"934","personal",3572
"935","although",3570
"936","table",3565
"937","voice",3552
"938","restaurant",3551
"939","huge",3543
"940","created",3539
"941","that’s",3538
"942","research",3521
"943","faith",3519
"944","served",3504
"945","budget",3500
"946","message",3500
"947","poor",3498
"948","united",3494
"949","include",3493
"950","tour",3493
"951","certain",3491
"952","wanna",3489
"953","hello",3480
"954","safety",3480
"955","safe",3476
"956","happened",3475
"957","places",3471
"958","we've",3469
"959","date",3467
"960","shooting",3459
"961","p",3455
"962","pink",3455
"963","nature",3454
"964","haven't",3451
"965","changed",3449
"966","hurt",3445
"967","spirit",3443
"968","stopped",3442
"969","brain",3438
"970","leader",3438
"971","dinner",3435
"972","e",3424
"973","pain",3424
"974","member",3422
"975","increase",3420
"976","wear",3418
"977","hoping",3415
"978","chapter",3412
"979","building",3411
"980","teams",3408
"981","foot",3397
"982","knows",3397
"983","evening",3395
"984","evidence",3395
"985","further",3392
"986","james",3391
"987","mister",3390
"988","king",3389
"989","you'll",3384
"990","sister",3380
"991","you’re",3379
"992","lets",3375
"993","judge",3373
"994","trade",3373
"995","moved",3371
"996","focus",3370
"997","inside",3369
"998","plenty",3368
"999","steve",3366
